vuosi;okmohjauksenala;korkeakoulu;tutkinnot;opiskelijat;uudet;lasna;fte
2007;Tekniikan alat;Tampereen tekn. yliopisto;715;8889;790;7455;5471.5
2007;Tekniikan alat;Turun ammattikorkeakoulu;313;2325;655;1985;1734.0
2007;Tekniikan alat;Turun yliopisto;;11;9;11;11.0
2007;Tekniikan alat;Vaasan ammattikorkeakoulu;114;958;220;760;657.5
2007;Tekniikan alat;Vaasan yliopisto;10;256;40;195;136.5
2007;Tekniikan alat;Yrkeshögskolan Arcada;56;396;105;332;281.5
2007;Tekniikan alat;Yrkeshögskolan Novia;103;906;222;776;678.0
2007;Tekniikan alat;Åbo Akademi;58;472;42;410;300.5
2007;Maa- ja metsätalousalat;Helsingin yliopisto;313;3302;355;3089;2310.5
2007;Maa- ja metsätalousalat;Hämeen ammattikorkeakoulu;145;916;219;819;715.0
2007;Maa- ja metsätalousalat;Itä-Suomen yliopisto;110;446;68;386;295.0
2007;Maa- ja metsätalousalat;Jyväskylän ammattikorkeakoulu;34;177;40;152;135.0
2007;Maa- ja metsätalousalat;Karelia-ammattikorkeakoulu;62;390;121;345;307.5
2007;Maa- ja metsätalousalat;Kymenlaakson ammattikorkeak.;33;239;46;214;193.5
2007;Maa- ja metsätalousalat;Lapin ammattikorkeakoulu;33;279;61;251;206.5
2007;Maa- ja metsätalousalat;Laurea-ammattikorkeakoulu;13;123;43;112;99.5
2007;Maa- ja metsätalousalat;Mikkelin ammattikorkeakoulu;34;234;52;206;171.0
2007;Maa- ja metsätalousalat;Oulun ammattikorkeakoulu;28;358;106;311;262.5
2007;Maa- ja metsätalousalat;Savonia-ammattikorkeakoulu;44;238;68;214;185.5
2007;Maa- ja metsätalousalat;Seinäjoen ammattikorkeakoulu;89;611;167;520;445.5
2007;Maa- ja metsätalousalat;Tampereen ammattikorkeakoulu;27;135;29;128;106.0
2007;Maa- ja metsätalousalat;Turun ammattikorkeakoulu;27;111;35;89;84.0
2007;Maa- ja metsätalousalat;Yrkeshögskolan Novia;22;276;56;234;195.5
2007;Lääketieteet;Helsingin yliopisto;463;2290;92;2242;1539.5
2007;Lääketieteet;Itä-Suomen yliopisto;191;1325;104;1294;1036.5
2007;Lääketieteet;Jyväskylän ammattikorkeakoulu;8;20;;20;14.5
2007;Lääketieteet;Metropolia Ammattikorkeakoulu;49;262;76;220;208.0
2007;Lääketieteet;Oulun ammattikorkeakoulu;12;87;28;76;69.0
2007;Lääketieteet;Oulun yliopisto;252;1566;116;1494;1169.0
2007;Lääketieteet;Savonia-ammattikorkeakoulu;31;102;30;81;77.0
2007;Lääketieteet;Tampereen yliopisto;226;1488;102;1464;1051.0
2007;Lääketieteet;Turun ammattikorkeakoulu;18;96;23;92;84.5
2007;Lääketieteet;Turun yliopisto;253;1846;99;1803;1327.0
2007;Lääketieteet;Yrkeshögskolan Arcada;;1;;1;1.0
2007;Terveys- ja hyvinvointialat;Centria-ammattikorkeakoulu;127;750;233;655;582.5
